Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24 00:00:00-05:00,72.13875426152481,73.81808861613008,70.19004239437265,72.36201477050781,222195200,0.0,0.0
2020-02-25 00:00:00-05:00,73.03425000192122,73.4176795737371,69.43774534651452,69.91096496582031,230673600,0.0,0.0
2020-02-26 00:00:00-05:00,69.53480258277888,72.28921027859994,69.52752251016861,71.0199966430664,198054800,0.0,0.0
2020-02-27 00:00:00-05:00,68.21709813440401,69.40622427185191,66.24168665795082,66.3775863647461,320605600,0.0,0.0
2020-02-28 00:00:00-05:00,62.431625307107254,67.56428659945458,62.21563736129434,66.33875274658203,426510000,0.0,0.0
2020-03-02 00:00:00-05:00,68.5034460821462,73.15317785016722,67.39683013967526,72.51493072509766,341397200,0.0,0.0
2020-03-03 00:00:00-05:00,73.69433636090781,73.77441717355254,69.35765634090362,70.2118911743164,319475600,0.0,0.0
2020-03-04 00:00:00-05:00,71.9397459328869,73.62878929022646,71.13647922986904,73.46862030029297,219178400,0.0,0.0
2020-03-05 00:00:00-05:00,71.71650028960082,72.69449642985231,70.71909308665877,71.08554077148438,187572800,0.0,0.0
2020-03-06 00:00:00-05:00,68.43549184953756,70.57592284013839,68.24863164787311,70.14152526855469,226176800,0.0,0.0
2020-03-09 00:00:00-04:00,64.00658563730508,67.48660157527603,63.82457638904733,64.5938720703125,286744800,0.0,0.0
2020-03-10 00:00:00-04:00,67.25608395618609,69.51299644350358,65.37046275999084,69.24604797363281,285290000,0.0,0.0
2020-03-11 00:00:00-04:00,67.31672054900297,68.24617771103672,65.97469878489102,66.841064453125,255598800,0.0,0.0
2020-03-12 00:00:00-04:00,62.111272274536645,65.52333888472222,60.18440016078189,60.24021530151367,418474000,0.0,0.0
2020-03-13 00:00:00-04:00,64.28324334840872,67.93070839286551,61.38565181622262,67.45748138427734,370732000,0.0,0.0
2020-03-16 00:00:00-04:00,58.71619794935518,62.873287737827965,58.242974521961955,58.779296875,322423600,0.0,0.0
2020-03-17 00:00:00-04:00,60.06548857627604,62.516544687820904,57.854682347294336,61.36382293701172,324056000,0.0,0.0
2020-03-18 00:00:00-04:00,58.187145839294104,60.6697510139483,57.54404425675361,59.861629486083984,300233600,0.0,0.0
2020-03-19 00:00:00-04:00,60.036365596883776,61.35896558109421,58.87636011980493,59.40297317504883,271857200,0.0,0.0
